gender,country,city,stadium,year,date,time_local,lat,lon,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
Men,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,1950,06-24,15:00:00,-22.912167,-43.230164,,,,,,,,,,,,,,,,,
Men,Brazil,São Paulo,Pacaembu,1950,06-25,15:00:00,-23.548639,-46.665111,,,,,,,,,,,,,,,,,
Men,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,1950,06-25,15:00:00,-22.912167,-43.230164,,,,,,,,,,,,,,,,,
Men,Brazil,Curitiba,Durival de Brito,1950,06-25,15:00:00,-25.43944,-49.25583,,,,,,,,,,,,,,,,,
Men,Brazil,Belo Horizonte,Independencia,1950,06-25,15:00:00,-19.90833,-43.91778,,,,,,,,,,,,,,,,,
Men,Brazil,São Paulo,Pacaembu,1950,06-28,15:00:00,-23.548639,-46.665111,,,,,,,,,,,,,,,,,
Men,Brazil,Porto Alegre,Eucaliptos,1950,06-28,15:00:00,-30.06167,-51.22722,,,,,,,,,,,,,,,,,
Men,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,1950,06-29,15:00:00,-22.912167,-43.230164,,,,,,,,,,,,,,,,,
Men,Brazil,Belo Horizonte,Independencia,1950,06-29,15:00:00,-19.90833,-43.91778,,,,,,,,,,,,,,,,,
Men,Brazil,Curitiba,Durival de Brito,1950,06-29,15:30:00,-25.43944,-49.25583,,,,,,,,,,,,,,,,,
Men,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,1950,07-01,15:00:00,-22.912167,-43.230164,,,,,,,,,,,,,,,,,
Men,Brazil,Recife,Ilha do Retiro,1950,07-02,15:00:00,-8.062953,-34.902981,,,,,,,,,,,,,,,,,
Men,Brazil,São Paulo,Pacaembu,1950,07-02,15:00:00,-23.548639,-46.665111,,,,,,,,,,,,,,,,,
Men,Brazil,Belo Horizonte,Independencia,1950,07-02,15:00:00,-19.90833,-43.91778,,,,,,,,,,,,,,,,,
