year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,source_url,yellow_cards,red_cards
2002,Group A,2002-05-31,20:30,Seoul World Cup Stadium,Seoul,France,Senegal,0,1,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_A,,
2002,Group A,2002-06-01,18:00,Ulsan Munsu Football Stadium,Ulsan,Uruguay,Denmark,1,2,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_A,,
2002,Group A,2002-06-06,15:30,Daegu World Cup Stadium,Daegu,Denmark,Senegal,1,1,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_A,,
2002,Group A,2002-06-06,20:30,Busan Asiad Main Stadium,Busan,France,Uruguay,0,0,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_A,,
2002,Group A,2002-06-11,15:30,Incheon Munhak Stadium,Incheon,Denmark,France,2,0,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_A,,
2002,Group A,2002-06-11,15:30,Suwon World Cup Stadium,Suwon,Senegal,Uruguay,3,3,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_A,,
2002,Group B,2002-06-02,16:30,Busan Asiad Main Stadium,Busan,Paraguay,South Africa,2,2,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_B,,
2002,Group B,2002-06-02,20:30,Gwangju World Cup Stadium,Gwangju,Spain,Slovenia,3,1,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_B,,
2002,Group B,2002-06-07,18:00,Jeonju World Cup Stadium,Jeonju,Spain,Paraguay,3,1,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_B,,
2002,Group B,2002-06-08,15:30,Daegu World Cup Stadium,Daegu,South Africa,Slovenia,1,0,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_B,,
2002,Group B,2002-06-12,20:30,Daejeon World Cup Stadium,Daejeon,South Africa,Spain,2,3,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_B,,
2002,Group B,2002-06-12,20:30,Jeju World Cup Stadium,Seogwipo,Slovenia,Paraguay,1,3,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_B,,
2002,Group C,2002-06-03,18:00,Ulsan Munsu Football Stadium,Ulsan,Brazil,Turkey,2,1,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_C,,
2002,Group C,2002-06-04,15:30,Gwangju World Cup Stadium,Gwangju,China PR,Costa Rica,0,2,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_C,,
2002,Group C,2002-06-08,20:30,Jeju World Cup Stadium,Seogwipo,Brazil,China PR,4,0,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_C,,
2002,Group C,2002-06-09,18:00,Incheon Munhak Stadium,Incheon,Costa Rica,Turkey,1,1,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_C,,
2002,Group C,2002-06-13,15:30,Suwon World Cup Stadium,Suwon,Costa Rica,Brazil,2,5,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_C,,
2002,Group C,2002-06-13,15:30,Seoul World Cup Stadium,Seoul,Turkey,China PR,3,0,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_C,,
2002,Group D,2002-06-04,20:30,Busan Asiad Main Stadium,Busan,South Korea,Poland,2,0,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_Group_D,,
