year,match_no,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url
2014,1,Group A,2014-06-12,17:00,Arena Corinthians (Arena de São Paulo),São Paulo,Brazil,Croatia,3,1,False,62103,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,2,Group A,2014-06-13,13:00,Arena das Dunas,Natal,Mexico,Cameroon,1,0,False,39216,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,3,Group B,2014-06-13,16:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Spain,Netherlands,1,5,False,48173,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,4,Group B,2014-06-13,18:00,Arena Pantanal,Cuiabá,Chile,Australia,3,1,False,40275,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,5,Group C,2014-06-14,13:00,Estádio Mineirão,Belo Horizonte,Colombia,Greece,3,0,False,57174,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,6,Group D,2014-06-14,16:00,Estádio Castelão,Fortaleza,Uruguay,Costa Rica,1,3,False,58679,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,7,Group D,2014-06-14,18:00,Arena da Amazônia,Manaus,England,Italy,1,2,False,39800,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,8,Group C,2014-06-14,22:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,Ivory Coast,Japan,2,1,False,40267,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,9,Group E,2014-06-15,13:00,Estádio Nacional Mané Garrincha,Brasília,Switzerland,Ecuador,2,1,False,68351,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,10,Group E,2014-06-15,16:00,Estádio Beira-Rio,Porto Alegre,France,Honduras,3,0,False,43012,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,11,Group F,2014-06-15,19:00,Estádio do Maracanã,Rio de Janeiro,Argentina,Bosnia and Herzegovina,2,1,False,74738,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,12,Group G,2014-06-16,13:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Germany,Portugal,4,0,False,51081,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,13,Group F,2014-06-16,16:00,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Iran,Nigeria,0,0,False,39081,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,14,Group G,2014-06-16,19:00,Arena das Dunas,Natal,Ghana,United States,1,2,False,39760,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,15,Group H,2014-06-17,13:00,Estádio Mineirão,Belo Horizonte,Belgium,Algeria,2,1,False,56800,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,16,Group A,2014-06-17,16:00,Estádio Castelão,Fortaleza,Brazil,Mexico,0,0,False,60342,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,17,Group H,2014-06-17,18:00,Arena Pantanal,Cuiabá,Russia,South Korea,1,1,False,37603,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,18,Group B,2014-06-18,13:00,Estádio Beira-Rio,Porto Alegre,Australia,Netherlands,2,3,False,42877,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,19,Group B,2014-06-18,16:00,Estádio do Maracanã,Rio de Janeiro,Spain,Chile,0,2,False,74101,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,20,Group A,2014-06-18,18:00,Arena da Amazônia,Manaus,Cameroon,Croatia,0,4,False,39982,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
2014,21,Group C,2014-06-19,13:00,Estádio Nacional Mané Garrincha,Brasília,Colombia,Ivory Coast,2,1,False,68748,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,22,Group D,2014-06-19,16:00,Arena Corinthians (Arena de São Paulo),São Paulo,Uruguay,England,2,1,False,62575,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,23,Group C,2014-06-19,19:00,Arena das Dunas,Natal,Japan,Greece,0,0,False,39485,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C
2014,24,Group D,2014-06-20,13:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,Italy,Costa Rica,0,1,False,40285,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D
2014,25,Group E,2014-06-20,16:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Switzerland,France,2,5,False,51003,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,26,Group E,2014-06-20,19:00,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Honduras,Ecuador,1,2,False,39224,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E
2014,27,Group F,2014-06-21,13:00,Estádio Mineirão,Belo Horizonte,Argentina,Iran,1,0,False,57698,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,28,Group G,2014-06-21,16:00,Estádio Castelão,Fortaleza,Germany,Ghana,2,2,False,59621,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,29,Group F,2014-06-21,18:00,Arena Pantanal,Cuiabá,Nigeria,Bosnia and Herzegovina,1,0,False,40499,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F
2014,30,Group H,2014-06-22,13:00,Estádio do Maracanã,Rio de Janeiro,Belgium,Russia,1,0,False,73819,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,31,Group H,2014-06-22,16:00,Estádio Beira-Rio,Porto Alegre,South Korea,Algeria,2,4,False,42732,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H
2014,32,Group G,2014-06-22,18:00,Arena da Amazônia,Manaus,United States,Portugal,2,2,False,40123,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G
2014,33,Group B,2014-06-23,13:00,Arena Corinthians (Arena de São Paulo),São Paulo,Netherlands,Chile,2,0,False,62996,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,34,Group B,2014-06-23,13:00,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Australia,Spain,0,3,False,39375,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B
2014,35,Group A,2014-06-23,17:00,Estádio Nacional Mané Garrincha,Brasília,Cameroon,Brazil,1,4,False,69112,,,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A
