year,match_no,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url,goals,substitutions,injuries_or_cooling
2014,1,Group A,2014-06-12,17:00,Arena Corinthians (Arena de São Paulo),São Paulo,Brazil,Croatia,3,1,False,62103,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A,4,,None documented
2014,2,Group A,2014-06-13,13:00,Arena das Dunas,Natal,Mexico,Cameroon,1,0,False,39216,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A,1,,None documented (Manaus was a hot venue but no break recorded)
2014,3,Group B,2014-06-13,16:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Spain,Netherlands,1,5,False,48173,4,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B,6,,None documented
2014,4,Group B,2014-06-13,18:00,Arena Pantanal,Cuiabá,Chile,Australia,3,1,False,40275,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B,4,,None documented (played in Cuiaba)
2014,5,Group C,2014-06-14,13:00,Estádio Mineirão,Belo Horizonte,Colombia,Greece,3,0,False,57174,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C,3,,None documented (played in Belo Horizonte)
2014,6,Group D,2014-06-14,16:00,Estádio Castelão,Fortaleza,Uruguay,Costa Rica,1,3,False,58679,3,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D,4,,"None documented; straight red Maximiliano Pereira (Uruguay, 90+3')"
2014,7,Group D,2014-06-14,18:00,Arena da Amazônia,Manaus,England,Italy,1,2,False,39800,1,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D,3,,Played in hot/humid Manaus (evening); no cooling break recorded. Match report notes an England physio dislocated an ankle during a goal celebration
2014,8,Group C,2014-06-14,22:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,Ivory Coast,Japan,2,1,False,40267,4,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C,3,,"None documented (evening match in hot, humid Recife)"
2014,9,Group E,2014-06-15,13:00,Estádio Nacional Mané Garrincha,Brasília,Switzerland,Ecuador,2,1,False,68351,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E,3,,None documented (played in Brasilia)
2014,10,Group E,2014-06-15,16:00,Estádio Beira-Rio,Porto Alegre,France,Honduras,3,0,False,43012,6,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E,3,,"Played in hot/humid Porto Alegre; red card Wilson Palacios (Honduras, 43', two yellows). First World Cup goal awarded by goal-line technology"
2014,11,Group F,2014-06-15,19:00,Estádio do Maracanã,Rio de Janeiro,Argentina,Bosnia and Herzegovina,2,1,False,74738,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F,3,,"None documented (played at Maracana, Rio)"
2014,12,Group G,2014-06-16,13:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Germany,Portugal,4,0,False,51081,1,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G,4,,"Played in hot Salvador (afternoon); straight red Pepe (Portugal, 37', headbutt on Mueller)"
2014,13,Group F,2014-06-16,16:00,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Iran,Nigeria,0,0,False,39081,1,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_F,0,,None documented (played in Curitiba)
2014,14,Group G,2014-06-16,19:00,Arena das Dunas,Natal,Ghana,United States,1,2,False,39760,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_G,3,,None documented (played in Natal)
2014,15,Group H,2014-06-17,13:00,Estádio Mineirão,Belo Horizonte,Belgium,Algeria,2,1,False,56800,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H,3,,None documented (played in Belo Horizonte)
2014,16,Group A,2014-06-17,16:00,Estádio Castelão,Fortaleza,Brazil,Mexico,0,0,False,60342,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A,0,,None documented
2014,17,Group H,2014-06-17,18:00,Arena Pantanal,Cuiabá,Russia,South Korea,1,1,False,37603,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_H,2,,None documented (played in Cuiaba)
2014,18,Group B,2014-06-18,13:00,Estádio Beira-Rio,Porto Alegre,Australia,Netherlands,2,3,False,42877,4,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B,5,,None documented (played in Porto Alegre)
2014,19,Group B,2014-06-18,16:00,Estádio do Maracanã,Rio de Janeiro,Spain,Chile,0,2,False,74101,4,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_B,2,,None documented
2014,20,Group A,2014-06-18,18:00,Arena da Amazônia,Manaus,Cameroon,Croatia,0,4,False,39982,1,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_A,4,,"None documented; red card Alex Song (Cameroon, 40')"
2014,21,Group C,2014-06-19,13:00,Estádio Nacional Mané Garrincha,Brasília,Colombia,Ivory Coast,2,1,False,68748,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C,3,,None documented (played in Brasilia)
2014,22,Group D,2014-06-19,16:00,Arena Corinthians (Arena de São Paulo),São Paulo,Uruguay,England,2,1,False,62575,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D,3,,None documented (played in Sao Paulo)
2014,23,Group C,2014-06-19,19:00,Arena das Dunas,Natal,Japan,Greece,0,0,False,39485,4,1,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_C,0,,"None documented; red card Konstantinos Katsouranis (Greece, 38', two yellows)"
2014,24,Group D,2014-06-20,13:00,Arena Pernambuco (Itaipava Arena Pernambuco),Recife,Italy,Costa Rica,0,1,False,40285,2,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_D,1,,"None documented (played in hot, humid Recife, afternoon)"
2014,25,Group E,2014-06-20,16:00,Arena Fonte Nova (Itaipava Arena Fonte Nova),Salvador,Switzerland,France,2,5,False,51003,1,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E,7,,None documented (played in Salvador)
2014,26,Group E,2014-06-20,19:00,Arena da Baixada (Estádio Joaquim Américo Guimarães),Curitiba,Honduras,Ecuador,1,2,False,39224,3,0,,https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_Group_E,3,,None documented (played in Curitiba)
