year,round,match_no,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url
2018,Group A,1,2018-06-14,18:00,Luzhniki Stadium,Moscow,Russia,Saudi Arabia,5,0,False,78011,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A
2018,Group A,2,2018-06-15,17:00,Yekaterinburg Arena,Yekaterinburg,Egypt,Uruguay,0,1,False,27015,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_A
2018,Group B,3,2018-06-15,18:00,Saint Petersburg Stadium,Saint Petersburg,Morocco,Iran,0,1,False,62548,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B
2018,Group B,4,2018-06-15,21:00,Fisht Olympic Stadium,Sochi,Portugal,Spain,3,3,False,43866,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_B
2018,Group C,5,2018-06-16,13:00,Kazan Arena,Kazan,France,Australia,2,1,False,41279,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C
2018,Group D,6,2018-06-16,16:00,Otkritie Arena,Moscow,Argentina,Iceland,1,1,False,44190,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D
2018,Group C,7,2018-06-16,19:00,Mordovia Arena,Saransk,Peru,Denmark,0,1,False,40502,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_C
2018,Group D,8,2018-06-16,21:00,Kaliningrad Stadium,Kaliningrad,Croatia,Nigeria,2,0,False,31136,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_D
2018,Group E,9,2018-06-17,16:00,Samara Arena,Samara,Costa Rica,Serbia,0,1,False,41432,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E
2018,Group F,10,2018-06-17,18:00,Luzhniki Stadium,Moscow,Germany,Mexico,0,1,False,78011,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F
2018,Group E,11,2018-06-17,21:00,Rostov Arena,Rostov-on-Don,Brazil,Switzerland,1,1,False,43109,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_E
2018,Group F,12,2018-06-18,15:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Sweden,South Korea,1,0,False,42300,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_F
2018,Group G,13,2018-06-18,18:00,Fisht Olympic Stadium,Sochi,Belgium,Panama,3,0,False,43257,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G
2018,Group G,14,2018-06-18,21:00,Volgograd Arena,Volgograd,Tunisia,England,1,2,False,41064,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_G
2018,Group H,15,2018-06-19,15:00,Mordovia Arena,Saransk,Colombia,Japan,1,2,False,40842,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H
2018,Group H,16,2018-06-19,18:00,Otkritie Arena,Moscow,Poland,Senegal,1,2,False,44190,,,,https://en.wikipedia.org/wiki/2018_FIFA_World_Cup_Group_H
