year,round,date_local,kickoff_local,venue_stadium,venue_city,home_team,away_team,home_score,away_score,went_to_extra_time,attendance,yellow_cards,red_cards,fouls,source_url
2022,Group A,2022-11-20,19:00,Al Bayt Stadium,Al Khor,Qatar,Ecuador,0,2,False,67372,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_A
2022,Group A,2022-11-21,19:00,Al Thumama Stadium,Doha,Senegal,Netherlands,0,2,False,41721,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_A
2022,Group A,2022-11-25,16:00,Al Thumama Stadium,Doha,Qatar,Senegal,1,3,False,41797,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_A
2022,Group A,2022-11-25,19:00,Khalifa International Stadium,Al Rayyan,Netherlands,Ecuador,1,1,False,44833,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_A
2022,Group A,2022-11-29,18:00,Khalifa International Stadium,Al Rayyan,Ecuador,Senegal,1,2,False,44569,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_A
2022,Group A,2022-11-29,18:00,Al Bayt Stadium,Al Khor,Netherlands,Qatar,2,0,False,66784,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_A
2022,Group B,2022-11-21,16:00,Khalifa International Stadium,Al Rayyan,England,Iran,6,2,False,45334,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_B
2022,Group B,2022-11-21,22:00,Ahmad bin Ali Stadium,Al Rayyan,United States,Wales,1,1,False,43418,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_B
2022,Group B,2022-11-25,13:00,Ahmad bin Ali Stadium,Al Rayyan,Wales,Iran,0,2,False,40875,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_B
2022,Group B,2022-11-25,22:00,Al Bayt Stadium,Al Khor,England,United States,0,0,False,68463,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_B
2022,Group B,2022-11-29,22:00,Ahmad bin Ali Stadium,Al Rayyan,Wales,England,0,3,False,44297,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_B
2022,Group B,2022-11-29,22:00,Al Thumama Stadium,Doha,Iran,United States,0,1,False,42127,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_B
2022,Group C,2022-11-22,13:00,Lusail Stadium,Lusail,Argentina,Saudi Arabia,1,2,False,88012,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_C
2022,Group C,2022-11-22,19:00,Stadium 974,Doha,Mexico,Poland,0,0,False,39369,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_C
2022,Group C,2022-11-26,16:00,Education City Stadium,Al Rayyan,Poland,Saudi Arabia,2,0,False,44259,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_C
2022,Group C,2022-11-26,22:00,Lusail Stadium,Lusail,Argentina,Mexico,2,0,False,88966,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_C
2022,Group C,2022-11-30,22:00,Stadium 974,Doha,Poland,Argentina,0,2,False,44089,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_C
2022,Group C,2022-11-30,22:00,Lusail Stadium,Lusail,Saudi Arabia,Mexico,1,2,False,84985,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_C
2022,Group D,2022-11-22,16:00,Education City Stadium,Al Rayyan,Denmark,Tunisia,0,0,False,42925,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_D
2022,Group D,2022-11-22,22:00,Al Janoub Stadium,Al Wakrah,France,Australia,4,1,False,40875,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_D
2022,Group D,2022-11-26,13:00,Al Janoub Stadium,Al Wakrah,Tunisia,Australia,0,1,False,41823,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_D
2022,Group D,2022-11-26,19:00,Stadium 974,Doha,France,Denmark,2,1,False,42860,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_D
2022,Group D,2022-11-30,18:00,Al Janoub Stadium,Al Wakrah,Australia,Denmark,1,0,False,41232,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_D
2022,Group D,2022-11-30,18:00,Education City Stadium,Al Rayyan,Tunisia,France,1,0,False,43627,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_D
2022,Group E,2022-11-23,16:00,Khalifa International Stadium,Al Rayyan,Germany,Japan,1,2,False,42608,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_E
2022,Group E,2022-11-23,19:00,Al Thumama Stadium,Doha,Spain,Costa Rica,7,0,False,40013,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_E
2022,Group E,2022-11-27,13:00,Ahmad bin Ali Stadium,Al Rayyan,Japan,Costa Rica,0,1,False,41479,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_E
2022,Group E,2022-11-27,22:00,Al Bayt Stadium,Al Khor,Spain,Germany,1,1,False,68895,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_E
2022,Group E,2022-12-01,22:00,Khalifa International Stadium,Al Rayyan,Japan,Spain,2,1,False,44851,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_E
2022,Group E,2022-12-01,22:00,Al Bayt Stadium,Al Khor,Costa Rica,Germany,2,4,False,67054,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_E
2022,Group F,2022-11-23,13:00,Al Bayt Stadium,Al Khor,Morocco,Croatia,0,0,False,59407,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_F
2022,Group F,2022-11-23,22:00,Ahmad bin Ali Stadium,Al Rayyan,Belgium,Canada,1,0,False,40432,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_F
2022,Group F,2022-11-27,16:00,Al Thumama Stadium,Doha,Belgium,Morocco,0,2,False,43738,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_F
2022,Group F,2022-11-27,19:00,Khalifa International Stadium,Al Rayyan,Croatia,Canada,4,1,False,44374,,,,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_Group_F
