year,host,stadium,city,country,lat,lon,timezone,utc_offset_during_cup,elevation_m,capacity,still_exists,source_url
1950,Brazil,Estádio do Maracanã,Rio de Janeiro,Brazil,-22.912167,-43.230164,America/Sao_Paulo,UTC-3,10.0,200000,True,https://en.wikipedia.org/wiki/Maracan%C3%A3_Stadium
1950,Brazil,Estádio do Pacaembu,São Paulo,Brazil,-23.548639,-46.665111,America/Sao_Paulo,UTC-3,756.0,60000,True,https://en.wikipedia.org/wiki/Pacaembu_Stadium
1950,Brazil,Estádio Independência,Belo Horizonte,Brazil,-19.90833,-43.91778,America/Sao_Paulo,UTC-3,838.0,30000,True,https://en.wikipedia.org/wiki/Arena_Independ%C3%AAncia
1950,Brazil,Estádio dos Eucaliptos,Porto Alegre,Brazil,-30.06167,-51.22722,America/Sao_Paulo,UTC-3,9.0,20000,False,https://en.wikipedia.org/wiki/Est%C3%A1dio_dos_Eucaliptos
1950,Brazil,Estádio Durival de Britto (Vila Capanema),Curitiba,Brazil,-25.43944,-49.25583,America/Sao_Paulo,UTC-3,888.0,10000,True,https://en.wikipedia.org/wiki/Est%C3%A1dio_Durival_de_Britto
1950,Brazil,Estádio Ilha do Retiro,Recife,Brazil,-8.06278,-34.90278,America/Recife,UTC-3,8.0,20000,True,https://en.wikipedia.org/wiki/Est%C3%A1dio_Ilha_do_Retiro
1954,Switzerland,Wankdorf Stadium,Bern,Switzerland,46.96278,7.465,Europe/Zurich,UTC+1,558.0,64600,False,https://en.wikipedia.org/wiki/Wankdorf_Stadium
1954,Switzerland,St. Jakob Stadium,Basel,Switzerland,47.54139,7.62,Europe/Zurich,UTC+1,256.0,54800,False,https://en.wikipedia.org/wiki/St._Jakob_Stadium
1954,Switzerland,Stade Olympique de la Pontaise,Lausanne,Switzerland,46.53333,6.62417,Europe/Zurich,UTC+1,598.0,50300,True,https://en.wikipedia.org/wiki/Stade_olympique_de_la_Pontaise
1954,Switzerland,Stade des Charmilles,Geneva,Switzerland,46.2091,6.1182,Europe/Zurich,UTC+1,415.0,35997,False,https://en.wikipedia.org/wiki/Stade_des_Charmilles
1954,Switzerland,Stadio di Cornaredo,Lugano,Switzerland,46.02361,8.96167,Europe/Zurich,UTC+1,295.0,35800,True,https://en.wikipedia.org/wiki/Stadio_di_Cornaredo
1954,Switzerland,Hardturm,Zurich,Switzerland,47.39306,8.50472,Europe/Zurich,UTC+1,400.0,34800,False,https://en.wikipedia.org/wiki/Hardturm
1958,Sweden,Råsunda Stadium,Solna (Stockholm area),Sweden,59.36278,17.99639,Europe/Stockholm,UTC+1,15.0,50000,False,https://en.wikipedia.org/wiki/R%C3%A5sunda_Stadium
1958,Sweden,Ullevi,Gothenburg,Sweden,57.70583,11.98722,Europe/Stockholm,UTC+1,5.0,53000,True,https://en.wikipedia.org/wiki/Ullevi
1958,Sweden,Malmö Stadion,Malmö,Sweden,55.58611,12.98917,Europe/Stockholm,UTC+1,8.0,31000,False,https://en.wikipedia.org/wiki/Malm%C3%B6_Stadion
1958,Sweden,Olympia,Helsingborg,Sweden,56.04944,12.70694,Europe/Stockholm,UTC+1,18.0,27000,True,https://en.wikipedia.org/wiki/Olympia_(Helsingborg)
