gender,country,city,stadium,year,date,time_local,lat,lon,match_date,day_wbgt_mean_C,day_wbgt_min_C,day_wbgt_max_C,game_wbgt_mean_C,game_wbgt_min_C,game_wbgt_max_C,game_hrs_ge32_FIFA,game_hrs_ge28_FIFPRO_postpone,game_hrs_ge26_FIFPRO_breaks,game_hrs_over_p75_clim,game_hrs_over_p90_clim,game_hrs_over_p95_clim,game_hrs_over_max_clim
Men,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,1950,2026-06-24,15:00:00,-22.912167,-43.230164,1950-06-24,20.89,18.72,24.33,21.73,19.87,23.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men,Brazil,São Paulo,Pacaembu,1950,2026-06-25,15:00:00,-23.548639,-46.665111,1950-06-25,12.35,11.06,13.53,12.31,11.53,12.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,1950,2026-06-25,15:00:00,-22.912167,-43.230164,1950-06-25,18.23,16.95,19.82,17.8,17.23,18.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men,Brazil,Curitiba,Durival de Brito,1950,2026-06-25,15:00:00,-25.43944,-49.25583,1950-06-25,9.43,4.02,15.33,12.68,9.74,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men,Brazil,Belo Horizonte,Independencia,1950,2026-06-25,15:00:00,-19.90833,-43.91778,1950-06-25,16.34,10.21,24.88,20.94,14.88,23.97,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Men,Brazil,São Paulo,Pacaembu,1950,2026-06-28,15:00:00,-23.548639,-46.665111,1950-06-28,14.11,7.88,21.12,19.06,14.48,20.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men,Brazil,Porto Alegre,Eucaliptos,1950,2026-06-28,15:00:00,-30.06167,-51.22722,1950-06-28,15.7,12.88,20.24,17.82,15.99,20.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,1950,2026-06-29,15:00:00,-22.912167,-43.230164,1950-06-29,18.1,13.98,23.41,22.32,18.59,23.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men,Brazil,Belo Horizonte,Independencia,1950,2026-06-29,15:00:00,-19.90833,-43.91778,1950-06-29,13.03,7.5,19.57,17.32,11.75,19.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Men,Brazil,Curitiba,Durival de Brito,1950,2026-06-29,15:30:00,-25.43944,-49.25583,1950-06-29,13.35,10.66,16.74,15.39,13.67,16.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
