venue,tour,city,country,lat,lon,year,wbgt_sun
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1940,19.55
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1941,17.09
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1942,16.24
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1943,16.89
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1944,19.46
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1945,18.79
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1946,17.44
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1947,17.94
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1948,18.55
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1949,18.16
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1950,17.83
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1951,18.29
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1952,17.9
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1953,18.84
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1954,18.29
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1955,16.98
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1956,16.02
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1957,17.92
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1958,19.53
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1959,18.6
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1960,18.01
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1961,18.48
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1962,16.32
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1963,18.33
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1964,16.55
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1965,17.97
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1966,18.51
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1967,18.46
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1968,18.29
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1969,18.24
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1970,18.33
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1971,18.15
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1972,19.89
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1973,19.17
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1974,18.47
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1975,17.87
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1976,17.44
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1977,20.28
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1978,19.13
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1979,17.84
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1980,17.74
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1981,17.21
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1982,19.23
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1983,17.42
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1984,19.06
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1985,18.13
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1986,18.71
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1987,19.04
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1988,16.54
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1989,17.69
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1990,16.93
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1991,18.53
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1992,18.33
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1993,18.46
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1994,18.99
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1995,19.99
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1996,16.91
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1997,18.7
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1998,18.58
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,1999,18.0
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2000,18.65
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2001,19.27
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2002,19.56
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2003,19.68
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2004,18.13
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2005,19.78
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2006,19.77
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2007,19.26
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2008,19.65
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2009,17.16
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2010,18.98
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2011,18.77
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2012,17.97
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2013,18.47
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2014,18.97
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2015,19.36
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2016,17.94
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2017,19.32
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2018,19.28
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2019,19.97
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2020,19.07
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2021,17.8
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2022,19.07
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2023,18.76
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2024,19.74
1950|Estádio Durival de Britto (Vila Capanema),1950,Curitiba,Brazil,-25.43944,-49.25583,2025,17.91
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1940,26.68
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1941,26.9
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1942,26.61
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1943,26.64
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1944,26.72
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1945,26.6
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1946,27.02
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1947,26.91
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1948,27.22
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1949,27.12
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1950,26.59
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1951,26.41
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1952,26.91
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1953,26.88
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1954,26.27
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1955,26.44
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1956,26.9
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1957,27.0
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1958,27.35
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1959,26.83
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1960,26.74
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1961,26.57
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1962,26.79
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1963,26.37
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1964,26.85
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1965,26.75
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1966,26.63
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1967,27.26
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1968,26.58
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1969,27.69
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1970,27.11
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1971,27.58
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1972,27.8
1950|Estádio Ilha do Retiro,1950,Recife,Brazil,-8.06278,-34.90278,1973,27.96
